"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","108","Get current version of Cypress being run","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.version","",""
"","857",".select() - select an option in a <select> element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","69","cy.url() - get the current URL","Location","2026-09-03","passed","2026-09-03","","","",""
"","98",".first() - get first DOM element","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","226","Cypress.$ - call a jQuery method","Utilities","2026-09-03","passed","2026-09-03","","","",""
"","81",".nextAll() - get all next sibling DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","71","cy.title() - get the title","Window","2026-09-03","passed","2026-09-03","","","",""
"","88",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","364","cy.visit() - visit a remote url","Navigation","2026-09-03","passed","2026-09-03","","","",""
"","2535","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
"","294",".add() - create a custom command","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.Commands","",""
"","3992",".type() - type into a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","229","cy.writeFile() - write to a file","Files","2026-09-03","passed","2026-09-03","","","",""
"","167","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-09-03","passed","2026-09-03","","","",""
"","83","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-09-03","passed","2026-09-03","","Cypress.Screenshot","",""
"","96","finds element by class name regex","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
"","94","cy.setCookie() - set a browser cookie","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","86","matches unknown text between two elements","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
"","128",".prev() - get previous sibling DOM element","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","76","yields the original subject without return","Connectors","2026-09-03","passed","2026-09-03","",".then()","",""
"","87",".prevAll() - get all previous sibling DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","106","cy.getAllCookies() - get all browser cookies","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","369",".blur() - blur off a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","86","assert - assert shape of an object","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
"","15","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
"","98","Get and set configuration options","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.config()","",""
"","84",".closest() - get closest ancestor DOM element","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","112","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
"","109",".last() - get last DOM element","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","76","cy.root() - query the root DOM element","Querying","2026-09-03","passed","2026-09-03","","","",""
"","92",".parents() - get parent DOM elements from DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","583","best practices - selecting elements","Querying","2026-09-03","passed","2026-09-03","","","",""
"","173","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","241","can delete all completed tasks","example to-do app","2026-09-03","passed","2026-09-03","","with a checked task","",""
"","75","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-09-03","passed","2026-09-03","","","",""
"","79",".siblings() - get all sibling DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","399","Cypress._ - call a lodash method","Utilities","2026-09-03","passed","2026-09-03","","","",""
"","208","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","118","pass your own callback function to should()","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
